circle, 100%
    1.0000    0.0000
    0.9990    0.0317
    0.9960    0.0633
    0.9910    0.0946
    0.9840    0.1256
    0.9750    0.1560
    0.9642    0.1858
    0.9515    0.2149
    0.9369    0.2431
    0.9206    0.2703
    0.9026    0.2965
    0.8830    0.3214
    0.8619    0.3450
    0.8393    0.3673
    0.8153    0.3881
    0.7900    0.4073
    0.7636    0.4249
    0.7361    0.4407
    0.7077    0.4548
    0.6784    0.4671
    0.6485    0.4775
    0.6179    0.4859
    0.5868    0.4924
    0.5554    0.4969
    0.5238    0.4994
    0.4921    0.4999
    0.4604    0.4984
    0.4288    0.4949
    0.3976    0.4894
    0.3668    0.4819
    0.3365    0.4725
    0.3068    0.4612
    0.2780    0.4480
    0.2500    0.4330
    0.2230    0.4163
    0.1972    0.3979
    0.1726    0.3779
    0.1493    0.3563
    0.1274    0.3334
    0.1070    0.3091
    0.0882    0.2835
    0.0710    0.2568
    0.0556    0.2291
    0.0419    0.2005
    0.0302    0.1710
    0.0203    0.1409
    0.0123    0.1102
    0.0063    0.0790
    0.0023    0.0475
    0.0003    0.0159
    0.0003    -0.0159
    0.0023    -0.0475
    0.0063    -0.0790
    0.0123    -0.1102
    0.0203    -0.1409
    0.0302    -0.1710
    0.0419    -0.2005
    0.0556    -0.2291
    0.0710    -0.2568
    0.0882    -0.2835
    0.1070    -0.3091
    0.1274    -0.3334
    0.1493    -0.3563
    0.1726    -0.3779
    0.1972    -0.3979
    0.2230    -0.4163
    0.2500    -0.4330
    0.2780    -0.4480
    0.3068    -0.4612
    0.3365    -0.4725
    0.3668    -0.4819
    0.3976    -0.4894
    0.4288    -0.4949
    0.4604    -0.4984
    0.4921    -0.4999
    0.5238    -0.4994
    0.5554    -0.4969
    0.5868    -0.4924
    0.6179    -0.4859
    0.6485    -0.4775
    0.6784    -0.4671
    0.7077    -0.4548
    0.7361    -0.4407
    0.7636    -0.4249
    0.7900    -0.4073
    0.8153    -0.3881
    0.8393    -0.3673
    0.8619    -0.3450
    0.8830    -0.3214
    0.9026    -0.2965
    0.9206    -0.2703
    0.9369    -0.2431
    0.9515    -0.2149
    0.9642    -0.1858
    0.9750    -0.1560
    0.9840    -0.1256
    0.9910    -0.0946
    0.9960    -0.0633
    0.9990    -0.0317
    1.0000    -0.0000
